,BURVDUZNZUUZFILNRIRZ,20190604235959,002,006,UNKNOWN
IUPPUPRNZ,BNFVZVFLPIPNP,20190604000923,002,000,ION
LLRRVNLUNUNL,BNFVZFLVOPNIN,20190604000921,002,000,LL
INFIPIUIVUN,BNFVZNNIUOZZR,20190604000920,002,000,IN
OONNZRVUNPRPL,BNFVZNNIUFLFU,20190604000919,002,000,OO
ZNZINPVUU,BNFVZNPFNFRFL,20190604000918,002,000,ION
ZNOPNZNFI,BNFVZFIVIZURI,20190604000917,002,000,ION
LLRPORVNLFRL,BNFVZFURIFOZR,20190604000916,002,000,LL
ZFFIVRUPO,BNFVZFFNUOUNF,20190604000916,002,000,ION
ZNPORNIFI,BNFVZNVUIRVOI,20190604000915,002,000,ION
IUPPUPRNZ,BURVZNNIUPFUL,20190604000914,002,000,ION
ZIOIFIVIV,BNFVZFLLOFNUU,20190604000913,002,000,ION
IOIPZLFNLIIF,BNFVZNNIUPLLZ,20190604000912,002,000,IOI
IOINLIRPPRP,BNFVZNLLIFNPP,20190604000910,002,000,IOI
ILFIPZOLVLV,BNFVZNIZPZZLP,20190604000909,002,000,IL
IULOUNFIU,BNUUZNLFROUNN,20190604000908,002,000,ION
ZIZRRUVFO,BNFVZNZROZRFU,20190604000907,002,000,ION
IULOUNFII,BNUUZVUVPZNLO,20190604000906,002,000,ION
LLRLLPPFINVR,BNFVZFRVVFRPV,20190604000905,002,000,LL
NFLFZOVRZII,BNFVZNNIUORUO,20190604000905,002,000,NFLF
ZNUOIFVLN,BURVDUZNVLFVNNNLIONU,20190604000904,002,000,ION
INFIPIRVFRV,BNFVZNNIUPPVU,20190604000903,002,000,IN
IPOZZVLPIVUV,BNFVZNVUPVPUN,20190604000902,002,000,IPO
ZFVPOPNVF,BNFVZFUZRUNNZL,20190604000900,002,000,ION
LLRLFURRPFRR,BNFVZFUFNPOPO,20190604000857,002,000,LL
IULOUNFII,BNUUZNRRIVRUN,20190604000856,002,000,ION
NLNFZLZIUOF,BNFVZNNIULZLU,20190604000855,002,000,NLNF
NLNFZLZIUOF,BNFVZNNIULZLU,20190604000855,002,000,NLNF
NFNOLZPVZVP,BNFVZNNIUOUUV,20190604000853,002,000,NFNO
ZNILOVVZZ,BNFVZNRVVIRVR,20190604000851,002,000,ION
NLNFLVRNIPN,BNFVZFURNZUZU,20190604000850,002,000,NLNF
LLRRNZZRUUNR,BNFVZNNIUPRFN,20190604000849,002,000,LL
LLNPFOOPRVPL,BURVZNIOPNNFL,20190604000846,002,000,LL
ZNNPLZLOF,BNFVZNNFFLPUU,20190604000845,002,000,ION
LNRFORUZFFR,BURVZVUUVOULP,20190604000845,002,000,LN
ILFZONOPUVZ,BNFVZNNIURFZV,20190604000843,002,000,IL
LLRLIFNOILRF,BNFVZNUOIRNRN,20190604000842,002,000,LL
ZNFPOUUZP,BNFVZNRNVVPPV,20190604000840,002,000,ION
IULOUNFIL,BNUUZVUIULPIL,20190604000839,002,000,ION
ILFUIOZIPVL,BNFVZVFIFOOLR,20190604000837,002,000,IL
ZNRFLVZUP,BNFVZNZURVINI,20190604000836,002,000,ION
ZNRFLVZUP,BURVZNZURVINI,20190604000834,002,000,ION
RZVFILFZRUR,BNFVZFURNPZOP,20190604000834,002,000,R
NLUILUFFROF,BURVZNNIULRPF,20190604000832,002,000,NLUI
ZFNOVOPUU,BNFVZFUZRUROOZ,20190604000832,002,000,ION
VNNVVRPIF,BNFVZNNVNLUUU,20190604000830,002,000,ION
VNNVVRPIF,BURVZNNVNLUUU,20190604000830,002,000,ION
VPNIPUPUU,BNUUZNURRLURP,20190604000829,002,000,ION
LLRLVZZULZZU,BNFVZNOOOVIFR,20190604000827,002,000,LL
IVLRZFIURNF,BNFVZNNIUZZRL,20190604000826,002,000,IV
ZFIRLNIFI,BNFVZNNUZZLIL,20190604000825,002,000,ION
IULOUNFIN,BNUUZVUUPORPU,20190604000825,002,000,ION
LLRZOVVUIPLZ,BNFVZFURIFNFO,20190604000824,002,000,LL
LLVUIVPZFRFV,BURVDUZNZUUZFPUZFOIV,20190604000822,002,000,LL
ZNZLOVUIU,BNFVZNNFZNUUU,20190604000821,002,000,ION
ILFZIOFFNZP,BNFVZNNIUPLPL,20190604000821,002,000,IL
ZNNNZPFII,BNFVZNRONVUIF,20190604000820,002,000,ION
OZUOZUVLZRIF,BNFVZFUZNRNPU,20190604000819,002,000,OZU
IZRNNZZUNIZV,BNFVZNUPVLVZL,20190604000817,002,000,IZ
IOVFZNVNZRLZ,BURVZNNIUONUO,20190604000815,002,000,IOV
LLNVVLROPOUU,BURVVNNZOIRRF,20190604000813,002,000,LL
IULOUNFIV,BNUUZVUNZFNLU,20190604000813,002,000,ION
INFLFZFVVUR,BNFVZNNIULRNV,20190604000811,002,000,IN
LLNPFOOPRVPL,BNFVZFLLRZNFF,20190604000811,002,000,LL
IZUOVVZZPZII,BNFVZFNFVIUUU,20190604000810,002,000,IZ
OONNZZZUIRULO,BNFVZFLRNVZFP,20190604000809,002,000,OO
LLVUIPOFPIUL,BNFVZNZFNFRZU,20190604000808,002,000,LL
LZNOROUIZPLZO,BNFVZNFVOFLLF,20190604000807,002,000,LZ
ZIRPZULFR,BNFVZFNOILVPI,20190604000806,002,000,ION
ZNPIRLLVP,BNFVZNILORNOI,20190604000805,002,000,ION
IULOUNFIP,BNUUZVUNFZOIP,20190604000804,002,000,ION
NZUPLRVUZVU,BNFVZNRRIIPRN,20190604000803,002,000,NZUP
ZNIRZLZFN,BNFVZNZLVNZIP,20190604000803,002,000,ION
NRFZVVRZVOZ,BNFVZNNIUOORN,20190604000803,002,000,NRFZ
NPUUZVLFVPF,BNFVZNNIUPFFO,20190604000801,002,000,NPUU
ILFFVZZUZNN,BURVZNNIUOOVZ,20190604000801,002,000,IL
INFIINPORUP,BNFVZNNIUFFOZ,20190604000800,002,000,IN
IPOZNPZUUVVR,BNFVZNLNPUOZO,20190604000800,002,000,IPO
ZNNNZPFII,BNFVZNPRZZIVN,20190604000759,002,000,ION
VNVFZRRILZFF,BNFVZNOOVILOO,20190604000758,002,000,VNV
IZULORPILINO,BNFVZVUVVZNUV,20190604000756,002,000,IZ
NPNLFFORLRO,BNFVZNNIUOZON,20190604000755,002,000,NPNL
ZIROPUNVO,BNFVZNLVVNILV,20190604000755,002,000,ION
IUPPUPRNZ,BNFVZFRZUUPOI,20190604000754,002,000,ION
IPOZPNPVLIII,BURVDUZNZUUZFFVFNVOI,20190604000753,002,000,IPO
IOIPZVOULZLZ,BNFVZFUZNFPZO,20190604000751,002,000,IOI
ZNPFFFOLV,BNFVZNFPLVZZU,20190604000750,002,000,ION
