ANumber,Count,DateTime
VNNZIZZUU,26.0,20190615233333
IUPPUOULU,21.0,20190615233333
VVZOFZOUU,16.0,20190615233333
ILFFVZZUZNN,16.0,20190615233333
ZNZRVZOUZIVO,15.0,20190615233333
IUPPUPFRP,14.0,20190615233333
IUPPURFUZ,12.0,20190615233333
IUPPUPRVP,12.0,20190615233333
IIFFILLIVRR,11.0,20190615233333
VNULILLRZ,10.0,20190615233333
IUPPUOULP,10.0,20190615233333
IUPPUOVLZ,9.0,20190615233333
LNRZFRFLNLI,8.0,20190615233333
ZNPRIONNF,8.0,20190615233333
ZNRIRLFFL,8.0,20190615233333
IUPPUPRNZ,7.0,20190615233333
IUPPULOVV,7.0,20190615233333
IIFUOFPLOVZ,7.0,20190615233333
IOINLIRPPRP,6.0,20190615233333
ZFOFLZVRI,6.0,20190615233333
ZFVVFURVZ,6.0,20190615233333
ILFPRUVLNZL,6.0,20190615233333
ZFZOIRVUU,6.0,20190615233333
IUPPULVFF,5.0,20190615233333
IUPPULZZI,5.0,20190615233333
ZNZUZRVFR,5.0,20190615233333
ZNZOPRVLL,5.0,20190615233333
IUPPUOVUN,5.0,20190615233333
ILFFIOVFIIF,5.0,20190615233333
ZNIPOPVRV,5.0,20190615233333
